division_number,division_header,title_number,title_header,subtitle,part,section_number,section_header,text
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(b) (b) National institutes of health innovation account (1) (1) Establishment of NIH innovation account There is established in the Treasury an account, to be known as the NIH Innovation Account (referred to in this subsection as the Account ), for purposes of carrying out the NIH Innovation Projects described in paragraph (4). (2) (2) Transfer of direct spending savings (A) (A) In general The following amounts shall be transferred to the Account from the general fund of the Treasury: (i) (i) For fiscal year 2017, $352,000,000. (ii) (ii) For fiscal year 2018, $496,000,000. (iii) (iii) For fiscal year 2019, $711,000,000. (iv) (iv) For fiscal year 2020, $492,000,000. (v) (v) For fiscal year 2021, $404,000,000. (vi) (vi) For fiscal year 2022, $496,000,000. (vii) (vii) For fiscal year 2023, $1,085,000,000. (viii) (viii) For fiscal year 2024, $407,000,000. (ix) (ix) For fiscal year 2025, $127,000,000. (x) (x) For fiscal year 2026, $226,000,000. (B) (B) Amounts deposited Any amounts transferred under subparagraph (A) shall remain unavailable in the Account until such amounts are appropriated pursuant to paragraph (3). (3) (3) Appropriations (A) (A) Authorization of appropriations For each of the fiscal years 2017 through 2026, there is authorized to be appropriated from the Account to the Director of NIH, for the purpose of carrying out the NIH Innovation Projects, an amount not to exceed the total amount transferred to the Account under paragraph (2)(A), to remain available until expended. (B) (B) Offsetting future appropriations For any of fiscal years 2017 through 2026, for any discretionary appropriation under the heading NIH Innovation Account provided to the Director of NIH pursuant to the authorization of appropriations under subparagraph (A) for the purpose of carrying out the NIH Innovation Projects, the total amount of such appropriations for the applicable fiscal year (not to exceed the total amount remaining in the Account) shall be subtracted from the estimate of discretionary budget authority and the resulting outlays for any estimate under the Congressional Budget and Impoundment Control Act of 1974 or the Balanced Budget and Emergency Deficit Control Act of 1985, and the amount transferred to the Account shall be reduced by the same amount."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(4) (4) NIH innovation projects NIH Innovation Projects authorized to be funded under this section shall consist of the following and, of the total amounts authorized to be appropriated under paragraph (3), there are authorized to be appropriated to each such project a total amount not to exceed the following, over the period of fiscal years 2017 through 2026: (A) (A) For the Precision Medicine Initiative, including for the advancement of a cohort of individuals to support the goals of the Precision Medicine Initiative, not to exceed a total of $1,455,000,000, as follows: (i) (i) For fiscal year 2017, $40,000,000. (ii) (ii) For fiscal year 2018, $100,000,000. (iii) (iii) For fiscal year 2019, $186,000,000. (iv) (iv) For fiscal year 2020, $149,000,000. (v) (v) For fiscal year 2021, $109,000,000. (vi) (vi) For fiscal year 2022, $150,000,000. (vii) (vii) For fiscal year 2023, $419,000,000. (viii) (viii) For fiscal year 2024, $235,000,000. (ix) (ix) For fiscal year 2025, $36,000,000. (x) (x) For fiscal year 2026, $31,000,000. (B) (B) For the Brain Research through Advancing Innovative Neurotechnologies Initiative (known as the BRAIN Initiative ), not to exceed a total of $1,511,000,000, as follows: (i) (i) For fiscal year 2017, $10,000,000. (ii) (ii) For fiscal year 2018, $86,000,000. (iii) (iii) For fiscal year 2019, $115,000,000. (iv) (iv) For fiscal year 2020, $140,000,000. (v) (v) For fiscal year 2021, $100,000,000. (vi) (vi) For fiscal year 2022, $152,000,000. (vii) (vii) For fiscal year 2023, $450,000,000. (viii) (viii) For fiscal year 2024, $172,000,000. (ix) (ix) For fiscal year 2025, $91,000,000. (x) (x) For fiscal year 2026, $195,000,000. (C) (C) To support cancer research, such as the development of cancer vaccines, the development of more sensitive diagnostic tests for cancer, immunotherapy and the development of combination therapies, and research that has the potential to transform the scientific field, that has inherently higher risk, and that seeks to address major challenges related to cancer, not to exceed a total of $1,800,000,000, as follows: (i) (i) For fiscal year 2017, $300,000,000. (ii) (ii) For fiscal year 2018, $300,000,000. (iii) (iii) For fiscal year 2019, $400,000,000. (iv) (iv) For fiscal year 2020, $195,000,000. (v) (v) For fiscal year 2021, $195,000,000. (vi) (vi) For fiscal year 2022, $194,000,000. (vii) (vii) For fiscal year 2023, $216,000,000."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(D) (D) For the National Institutes of Health, in coordination with the Food and Drug Administration, to award grants and contracts for clinical research to further the field of regenerative medicine using adult stem cells, including autologous stem cells, for which grants and contracts shall be contingent upon the recipient making available non-Federal contributions toward the costs of such research in an amount not less than $1 for each $1 of Federal funds provided in the award, not to exceed a total of $30,000,000, as follows: (i) (i) For fiscal year 2017, $2,000,000. (ii) (ii) For each of fiscal years 2018 and 2019, $10,000,000. (iii) (iii) For fiscal year 2020, $8,000,000. (iv) (iv) For each of fiscal years 2021 through 2026, $0.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(1) (1) Establishment of NIH innovation account There is established in the Treasury an account, to be known as the NIH Innovation Account (referred to in this subsection as the Account ), for purposes of carrying out the NIH Innovation Projects described in paragraph (4).."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(2) (2) Transfer of direct spending savings (A) (A) In general The following amounts shall be transferred to the Account from the general fund of the Treasury: (i) (i) For fiscal year 2017, $352,000,000. (ii) (ii) For fiscal year 2018, $496,000,000. (iii) (iii) For fiscal year 2019, $711,000,000. (iv) (iv) For fiscal year 2020, $492,000,000. (v) (v) For fiscal year 2021, $404,000,000. (vi) (vi) For fiscal year 2022, $496,000,000. (vii) (vii) For fiscal year 2023, $1,085,000,000. (viii) (viii) For fiscal year 2024, $407,000,000. (ix) (ix) For fiscal year 2025, $127,000,000. (x) (x) For fiscal year 2026, $226,000,000. (B) (B) Amounts deposited Any amounts transferred under subparagraph (A) shall remain unavailable in the Account until such amounts are appropriated pursuant to paragraph (3).."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(A) (A) In general The following amounts shall be transferred to the Account from the general fund of the Treasury: (i) (i) For fiscal year 2017, $352,000,000. (ii) (ii) For fiscal year 2018, $496,000,000. (iii) (iii) For fiscal year 2019, $711,000,000. (iv) (iv) For fiscal year 2020, $492,000,000. (v) (v) For fiscal year 2021, $404,000,000. (vi) (vi) For fiscal year 2022, $496,000,000. (vii) (vii) For fiscal year 2023, $1,085,000,000. (viii) (viii) For fiscal year 2024, $407,000,000. (ix) (ix) For fiscal year 2025, $127,000,000. (x) (x) For fiscal year 2026, $226,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(i) (i) For fiscal year 2017, $352,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(ii) (ii) For fiscal year 2018, $496,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(iii) (iii) For fiscal year 2019, $711,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(iv) (iv) For fiscal year 2020, $492,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(v) (v) For fiscal year 2021, $404,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(vi) (vi) For fiscal year 2022, $496,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(vii) (vii) For fiscal year 2023, $1,085,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(viii) (viii) For fiscal year 2024, $407,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(ix) (ix) For fiscal year 2025, $127,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(x) (x) For fiscal year 2026, $226,000,000.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,(B) (B) Amounts deposited Any amounts transferred under subparagraph (A) shall remain unavailable in the Account until such amounts are appropriated pursuant to paragraph (3)..
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(3) (3) Appropriations (A) (A) Authorization of appropriations For each of the fiscal years 2017 through 2026, there is authorized to be appropriated from the Account to the Director of NIH, for the purpose of carrying out the NIH Innovation Projects, an amount not to exceed the total amount transferred to the Account under paragraph (2)(A), to remain available until expended. (B) (B) Offsetting future appropriations For any of fiscal years 2017 through 2026, for any discretionary appropriation under the heading NIH Innovation Account provided to the Director of NIH pursuant to the authorization of appropriations under subparagraph (A) for the purpose of carrying out the NIH Innovation Projects, the total amount of such appropriations for the applicable fiscal year (not to exceed the total amount remaining in the Account) shall be subtracted from the estimate of discretionary budget authority and the resulting outlays for any estimate under the Congressional Budget and Impoundment Control Act of 1974 or the Balanced Budget and Emergency Deficit Control Act of 1985, and the amount transferred to the Account shall be reduced by the same amount.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(A) (A) Authorization of appropriations For each of the fiscal years 2017 through 2026, there is authorized to be appropriated from the Account to the Director of NIH, for the purpose of carrying out the NIH Innovation Projects, an amount not to exceed the total amount transferred to the Account under paragraph (2)(A), to remain available until expended.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(B) (B) Offsetting future appropriations For any of fiscal years 2017 through 2026, for any discretionary appropriation under the heading NIH Innovation Account provided to the Director of NIH pursuant to the authorization of appropriations under subparagraph (A) for the purpose of carrying out the NIH Innovation Projects, the total amount of such appropriations for the applicable fiscal year (not to exceed the total amount remaining in the Account) shall be subtracted from the estimate of discretionary budget authority and the resulting outlays for any estimate under the Congressional Budget and Impoundment Control Act of 1974 or the Balanced Budget and Emergency Deficit Control Act of 1985, and the amount transferred to the Account shall be reduced by the same amount.."
A,21st Century Cures,I,Innovation Projects and State Responses to Opioid Abuse,,,1001.,Beau Biden cancer Moonshot and NIH innovation projects,"(4) (4) NIH innovation projects NIH Innovation Projects authorized to be funded under this section shall consist of the following and, of the total amounts authorized to be appropriated under paragraph (3), there are authorized to be appropriated to each such project a total amount not to exceed the following, over the period of fiscal years 2017 through 2026: (A) (A) For the Precision Medicine Initiative, including for the advancement of a cohort of individuals to support the goals of the Precision Medicine Initiative, not to exceed a total of $1,455,000,000, as follows: (i) (i) For fiscal year 2017, $40,000,000. (ii) (ii) For fiscal year 2018, $100,000,000. (iii) (iii) For fiscal year 2019, $186,000,000. (iv) (iv) For fiscal year 2020, $149,000,000. (v) (v) For fiscal year 2021, $109,000,000. (vi) (vi) For fiscal year 2022, $150,000,000. (vii) (vii) For fiscal year 2023, $419,000,000. (viii) (viii) For fiscal year 2024, $235,000,000. (ix) (ix) For fiscal year 2025, $36,000,000. (x) (x) For fiscal year 2026, $31,000,000. (B) (B) For the Brain Research through Advancing Innovative Neurotechnologies Initiative (known as the BRAIN Initiative ), not to exceed a total of $1,511,000,000, as follows: (i) (i) For fiscal year 2017, $10,000,000. (ii) (ii) For fiscal year 2018, $86,000,000. (iii) (iii) For fiscal year 2019, $115,000,000. (iv) (iv) For fiscal year 2020, $140,000,000. (v) (v) For fiscal year 2021, $100,000,000. (vi) (vi) For fiscal year 2022, $152,000,000. (vii) (vii) For fiscal year 2023, $450,000,000. (viii) (viii) For fiscal year 2024, $172,000,000. (ix) (ix) For fiscal year 2025, $91,000,000. (x) (x) For fiscal year 2026, $195,000,000. (C) (C) To support cancer research, such as the development of cancer vaccines, the development of more sensitive diagnostic tests for cancer, immunotherapy and the development of combination therapies, and research that has the potential to transform the scientific field, that has inherently higher risk, and that seeks to address major challenges related to cancer, not to exceed a total of $1,800,000,000, as follows: (i) (i) For fiscal year 2017, $300,000,000. (ii) (ii) For fiscal year 2018, $300,000,000. (iii) (iii) For fiscal year 2019, $400,000,000. (iv) (iv) For fiscal year 2020, $195,000,000. (v) (v) For fiscal year 2021, $195,000,000. (vi) (vi) For fiscal year 2022, $194,000,000. (vii) (vii) For fiscal year 2023, $216,000,000."
