Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access,Summary,Committees,Topics,Related Bills
558,S,117,FLOODS Act,https://api.congress.gov/v3/bill/117/s/558?format=xml,"Sen. Wicker, Roger F. [R-MS]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/s558/BILLS-117s558enr.xml,"<p><b>Flood Level Observation, Operations, and Decision Support Act or the FLOODS Act</b></p> <p>This act addresses forecasting and the communication of flood, tornado, and hurricane events by the National Oceanic and Atmospheric Administration (NOAA).</p> <p>For example, the act directs NOAA to establish a National Integrated Flood Information System to inform and provide for timely decisions to reduce flood-related effects and costs.</p> <p>NOAA must also establish partnerships with institutions of higher education and federal agencies to improve total water predictions. In addition, NOAA must (1) evaluate and improve flash flood watches and warnings, (2) estimate and communicate the frequency of precipitation, and (3) identify gaps in the availability of snow-related data to assess and predict floods and flood impacts.</p> <p>Further, NOAA must ensure that the tornado warning improvement and extension program periodically examines the value of incorporating innovative observations, such as acoustic or infrasonic measurements, observations from phased array radars, and observations from mesonets (i.e., a network of certain weather observing stations).</p> <p>In addition, the National Weather Service must designate a service coordination hydrologist at each of its River Forecast Centers to increase impact-based decision support services at the state and local level.</p> <p>Finally, the act establishes an Interagency Committee on Water Management and Infrastructure to ensure that federal agencies that engage in water-related matters work together where such agencies have joint or overlapping responsibilities.</p>","['Commerce, Science, and Transportation Committee']","['Atmospheric science and weather', 'Congressional oversight', 'Department of Commerce', 'Emergency planning and evacuation', 'Environmental assessment, monitoring, research', 'Executive agency funding and structure', 'Floods and storm protection', 'Government information and archives', 'Government studies and investigations', 'Higher education', 'Hydrology and hydrography', 'Lakes and rivers', 'Marine and coastal resources, fisheries', 'Marine and inland water transportation', 'Natural disasters', 'Research administration and funding', 'Student aid and college costs', 'Water quality', 'Water storage']","['https://api.congress.gov/v3/bill/117/hr/1438?format=xml', 'https://api.congress.gov/v3/bill/117/hres/1518?format=xml']"
452,S,117,Willie O'Ree Congressional Gold Medal Act,https://api.congress.gov/v3/bill/117/s/452?format=xml,"Sen. Stabenow, Debbie [D-MI]",Sports and Recreation,https://www.congress.gov/117/bills/s452/BILLS-117s452enr.xml,"<p><b>Willie O'Ree Congressional Gold Medal Act</b></p> <p>This bill provides for the award of a Congressional Gold Medal to Willie O'Ree or, if unavailable, to a member of his family, in recognition of his contributions and commitment to hockey, inclusion, and recreational opportunity. </p> <p>The amounts received from the sale of duplicate medals shall be deposited in the U.S. Mint Public Enterprise Fund.</p>","['Banking, Housing, and Urban Affairs Committee']","['Athletes', 'Congressional tributes', 'Professional sports', 'Racial and ethnic relations']",['https://api.congress.gov/v3/bill/117/hr/2249?format=xml']
3113,HR,117,Modernizing Access to Our Public Land Act,https://api.congress.gov/v3/bill/117/hr/3113?format=xml,"Rep. Moore, Blake D. [R-UT-1]",Public Lands and Natural Resources,https://www.congress.gov/117/bills/hr3113/BILLS-117hr3113enr.xml,"<p><b>Modernizing Access to our Public Land Act or the MAPLand Act</b></p> <p>This bill directs the Department of the Interior, the Forest Service, and the U.S. Army Corps of Engineers to jointly develop and adopt interagency standards to ensure compatibility and interoperability among federal databases for the collection and dissemination of outdoor recreation data related to federal lands and used to depict locations at which recreation uses are available to the public.</p> <p>Interior, the Forest Service, and the Corps of Engineers must digitize and publish geographic information system data that includes</p><ul> <li> federal interests, including easements and rights-of-way, in private land;</li> <li>status information as to whether roads and trails are open or closed;</li> <li>the dates on which roads and trails are seasonally opened and closed;</li> <li>the types of vehicles and recreational uses that are allowed on each segment of roads and trails; and </li> <li>the boundaries of areas where hunting or recreational shooting is permanently restricted or closed.</li> </ul> <p>Interior, the Forest Service, and the Corps of Engineers may work with the U.S. Geological Survey to collect, digitize, standardize, or publish data to meet the requirements of this bill.</p>","['Transportation and Infrastructure Committee', 'Water Resources and Environment Subcommittee', 'Agriculture Committee', 'Forestry and Horticulture Subcommittee', 'Natural Resources Committee', 'Water, Wildlife and Fisheries Subcommittee', 'Federal Lands Subcommittee']","['Congressional oversight', 'Digital media', 'Geography and mapping', 'Government information and archives', 'Hunting and fishing', 'Land use and conservation', 'Marine and inland water transportation', 'Motor vehicles', 'Outdoor recreation', 'Parks, recreation areas, trails', 'Pedestrians and bicycling', 'Roads and highways']",['https://api.congress.gov/v3/bill/117/s/904?format=xml']
1652,HR,117,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,https://api.congress.gov/v3/bill/117/hr/1652?format=xml,"Rep. Nadler, Jerrold [D-NY-10]",Crime and Law Enforcement,https://www.congress.gov/117/bills/hr1652/BILLS-117hr1652enr.xml,"<p><b>VOCA Fix to Sustain the Crime Victims Fund Act of 2021</b></p> <p>This bill adds a new source of revenue for the Crime Victims Fund and makes changes to formula grants supported by the fund. </p> <p>Specifically, the bill directs revenues collected from deferred prosecution and non-prosecution agreements to be deposited into the Crime Victims Fund. Currently, such revenues are deposited into the general fund of the Treasury.</p> <p>Additionally, the bill increases the percentage&#8212;from 60% to 75%&#8212;of state compensation payments to crime victims in the prior fiscal year used to calculate formula grants for state victim compensation programs.</p> <p>Finally, the bill directs states to waive the matching requirement for recipients of state victim assistance formula grants during and for one year after a pandemic-related national emergency. It also allows states to waive the matching requirement pursuant to a policy established by the state. </p>",['Judiciary Committee'],"['Civil actions and liability', 'Crime victims', 'Criminal investigation, prosecution, interrogation', 'Emergency medical services and trauma care', 'Government trust funds', 'Infectious and parasitic diseases', 'Law enforcement administration and funding', 'State and local government operations']",[]
6386,HR,117,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6386?format=xml,"Rep. Krishnamoorthi, Raja [D-IL-8]",Government Operations and Politics,https://www.congress.gov/117/bills/hr6386/BILLS-117hr6386enr.xml,"<p>This act designates the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the Veterans of Iraq and Afghanistan Memorial Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Illinois', 'Postal service', ""Veterans' organizations and recognition""]",[]
5085,HR,117,Emergency Repatriation Assistance for Returning Americans Act,https://api.congress.gov/v3/bill/117/hr/5085?format=xml,"Rep. Neal, Richard E. [D-MA-1]",Social Welfare,https://www.congress.gov/117/bills/hr5085/BILLS-117hr5085enr.xml,"<p><b>Emergency Repatriation Assistance for Returning Americans Act</b></p> <p>This bill increases the maximum amount of funding available in FY2021 and FY2022 for temporary assistance for U.S. citizens and their dependents who are returning from foreign countries due to a crisis and are without available resources. Under current law, the Department of Health and Human Services may provide assistance such as money payments and medical care to these individuals on a temporary basis. The bill designates the funding as emergency spending that is exempt from pay-as-you-go (PAYGO) rules and other budget enforcement procedures.</p>","['Budget Committee', 'Ways and Means Committee', 'Social Security Subcommittee']","['Conflicts and wars', 'Diplomacy, foreign officials, Americans abroad', 'Emergency planning and evacuation', 'Poverty and welfare assistance']",[]
796,S,117,Protecting Moms Who Served Act of 2021,https://api.congress.gov/v3/bill/117/s/796?format=xml,"Sen. Duckworth, Tammy [D-IL]",Armed Forces and National Security,https://www.congress.gov/117/bills/s796/BILLS-117s796enr.xml,"<p><b>Protecting Moms Who Served Act</b> <strong>of 2021</strong><strong></strong></p> <p>This bill requires the Department of Veterans Affairs (VA) to implement the maternity care coordination program. The VA must provide community maternity care providers (i.e., non-VA maternity care providers) with training and support with respect to the unique needs of pregnant and postpartum veterans, particularly regarding mental and behavioral health conditions in relation to the service of the veterans in the Armed Forces.</p> <p>Additionally, the Government Accountability Office must report on maternal mortality and severe maternal morbidity among pregnant and postpartum veterans, with a focus on racial and ethnic disparities in maternal health outcomes for veterans.</p>","[""Veterans' Affairs Committee""]","['Congressional oversight', 'Employment and training programs', 'Food assistance and relief', 'Government information and archives', 'Health care costs and insurance', 'Health care coverage and access', 'Health information and medical records', 'Indian social and development programs', 'Medicaid', 'Mental health', 'Military medicine', 'Military personnel and dependents', 'Minority health', 'Poverty and welfare assistance', 'Sex and reproductive health', 'Sex offenses', ""Veterans' loans, housing, homeless programs"", ""Veterans' medical care"", ""Women's employment""]","['https://api.congress.gov/v3/bill/117/hr/958?format=xml', 'https://api.congress.gov/v3/bill/117/hr/8862?format=xml']"
7352,HR,117,PPP and Bank Fraud Enforcement Harmonization Act of 2022,https://api.congress.gov/v3/bill/117/hr/7352?format=xml,"Rep. Velazquez, Nydia M. [D-NY-7]",Commerce,https://www.congress.gov/117/bills/hr7352/BILLS-117hr7352enr.xml,<p><strong>PPP and Bank Fraud Enforcement Harmonization Act of 2022</strong></p> <p>This bill establishes a 10-year statute of limitations for criminal charges and civil enforcement against a borrower who engages in fraud with respect to a Paycheck Protection Program loan.</p>,"['Small Business and Entrepreneurship Committee', 'Small Business Committee']","['Business expenses', 'Civil actions and liability', 'Fraud offenses and financial crimes', 'Government lending and loan guarantees', 'Small business', 'Wages and earnings']",[]
7334,HR,117,COVID-19 EIDL Fraud Statute of Limitations Act of 2022,https://api.congress.gov/v3/bill/117/hr/7334?format=xml,"Rep. Luetkemeyer, Blaine [R-MO-3]",Commerce,https://www.congress.gov/117/bills/hr7334/BILLS-117hr7334enr.xml,<p><strong>COVID-19 EIDL Fraud Statute of Limitations Act of 2022</strong></p> <p>This bill establishes a 10-year statute of limitations for criminal charges and civil enforcement against a borrower who engages in fraud with respect to certain COVID-19 economic injury disaster loan programs.</p>,"['Small Business and Entrepreneurship Committee', 'Small Business Committee']","['Business investment and capital', 'Cardiovascular and respiratory health', 'Civil actions and liability', 'Criminal investigation, prosecution, interrogation', 'Emergency medical services and trauma care', 'Fraud offenses and financial crimes', 'Government lending and loan guarantees', 'Infectious and parasitic diseases', 'Small business']",[]
3580,S,117,Ocean Shipping Reform Act of 2022,https://api.congress.gov/v3/bill/117/s/3580?format=xml,"Sen. Klobuchar, Amy [D-MN]",Transportation and Public Works,https://www.congress.gov/117/bills/s3580/BILLS-117s3580enr.xml,"<p><b>Ocean Shipping Reform Act of 2022</b></p> <p>This act revises requirements governing ocean shipping to increase the authority of the Federal Maritime Commission (FMC) to promote the growth and development of U.S. exports through an ocean transportation system that is competitive, efficient, and economical. For example, the bill requires the FMC to (1) investigate complaints about detention and demurrage charges (i.e., late fees) charged by common ocean carriers, (2) determine whether those charges are reasonable, and (3) order refunds for unreasonable charges. It also prohibits common ocean carriers, marine terminal operators, or ocean transportation intermediaries from unreasonably refusing cargo space when available or resorting to other unfair or unjustly discriminatory methods.</p>","['Commerce, Science, and Transportation Committee']","['Administrative law and regulatory procedures', 'Administrative remedies', 'Alternative dispute resolution, mediation, arbitration', 'Cardiovascular and respiratory health', 'Civil actions and liability', 'Competition and antitrust', 'Competitiveness, trade promotion, trade deficits', 'Contracts and agency', 'Emergency medical services and trauma care', 'Federal Maritime Commission', 'Government information and archives', 'Government studies and investigations', 'Hazardous wastes and toxic substances', 'Infectious and parasitic diseases', 'Licensing and registrations', 'Marine and inland water transportation', 'Marine pollution', 'Motor carriers', 'Navigation, waterways, harbors']",['https://api.congress.gov/v3/bill/117/hr/4996?format=xml']
7925,HR,117,"To designate the Department of Veterans Affairs community-based outpatient clinic located in Palm Desert, California, as the ""Sy Kaplan VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/7925?format=xml,"Rep. Ruiz, Raul [D-CA-36]",Armed Forces and National Security,https://www.congress.gov/117/bills/hr7925/BILLS-117hr7925enr.xml,"<p>This act designates the community-based outpatient clinic of the Department of Veterans Affairs in Palm Desert, California, as the Sy Kaplan VA Clinic.</p>","[""Veterans' Affairs Committee"", ""Veterans' Affairs Committee"", 'Health Subcommittee']","['California', 'Congressional tributes', 'Health facilities and institutions', ""Veterans' organizations and recognition""]",[]
233,S,117,Donna M. Doss Memorial Act of 2021,https://api.congress.gov/v3/bill/117/s/233?format=xml,"Sen. Cornyn, John [R-TX]",Government Operations and Politics,https://www.congress.gov/117/bills/s233/BILLS-117s233enr.xml,"<p><b>Donna M. Doss Memorial Act of </b><b>2021</b></p> <p>This bill designates the Rocksprings station of the U.S. Border Patrol located on West Main Street in Rocksprings, Texas, as the Donna M. Doss Border Patrol Station.</p>",['Environment and Public Works Committee'],"['Border security and unlawful immigration', 'Congressional tributes', 'Department of Homeland Security', 'Government buildings, facilities, and property', 'Law enforcement officers', 'Texas']",['https://api.congress.gov/v3/bill/117/hr/858?format=xml']
1294,S,117,Protecting American Intellectual Property Act of 2022,https://api.congress.gov/v3/bill/117/s/1294?format=xml,"Sen. Van Hollen, Chris [D-MD]",International Affairs,https://www.congress.gov/117/bills/s1294/BILLS-117s1294enr.xml,"<p><b>Protecting American Intellectual Property Act of 2022</b></p> <p>This bill imposes sanctions on certain foreign individuals and entities involved in the theft of trade secrets belonging to a U.S. individual or entity.</p> <p>The President shall periodically report a list of foreign individuals and entities that have knowingly engaged in, benefited from, or assisted in the significant theft of U.S. trade secrets that materially contributed to a significant threat to U.S. national security, foreign policy, or economic health. The report shall also list foreign individuals who are chief executive officers or board members of any foreign entity engaging in such theft.</p> <p>The President shall impose (1) property- and visa-blocking sanctions on individuals named in the report; and (2) property- or export-blocking sanctions, including denial of certain financial assistance, on entities named in the report. </p>","['Banking, Housing, and Urban Affairs Committee']","['Competitiveness, trade promotion, trade deficits', 'Congressional oversight', 'Corporate finance and management', 'Foreign and international banking', 'Foreign and international corporations', 'Foreign loans and debt', 'Foreign property', 'Intellectual property', 'Multilateral development programs', 'Presidents and presidential powers, Vice Presidents', 'Public contracts and procurement', 'Sanctions', 'Trade restrictions', 'Trade secrets and economic espionage', 'U.S. and foreign investments', 'Visas and passports', 'War and emergency powers']",['https://api.congress.gov/v3/bill/117/hr/4521?format=xml']
5329,S,117,"A bill to amend the Bill Emerson Good Samaritan Food Donation Act to improve the program, and for other purposes.",https://api.congress.gov/v3/bill/117/s/5329?format=xml,"Sen. Blumenthal, Richard [D-CT]",Agriculture and Food,https://www.congress.gov/117/bills/s5329/BILLS-117s5329enr.xml,"<p>This act expands liability protections for the donation of food and grocery products.</p> <p>Specifically, the act expands the liability protections to include donations of an apparently fit grocery product or apparently wholesome food</p> <ul> <li>for which the recipient is charged a <i>good Samaritan reduced</i> price that is no greater than the cost of handling, administering, harvesting, processing, packaging, transporting, and distributing the food or product; or</li> <li>that is donated directly to a needy individual at zero cost by a retail grocer, wholesaler, agricultural producer, agricultural processor, agricultural distributor, restaurant, caterer, school food authority, or institution of higher education.</li> </ul>",[],"['Charitable contributions', 'Civil actions and liability', 'Food assistance and relief', 'Food industry and services', 'Food supply, safety, and labeling', 'Retail and wholesale trades']","['https://api.congress.gov/v3/bill/117/hr/6521?format=xml', 'https://api.congress.gov/v3/bill/117/s/3281?format=xml']"
