Number,Type,Congress,Title,Url,Summary,Committees,Topics,Related Bills,Sponsor,Subject,Text Access
82,HR,118,Social Security Fairness Act of 2023,https://api.congress.gov/v3/bill/118/hr/82?format=xml,"<p><strong>Social Security Fairness Act of 2023</strong></p><p>This act repeals provisions that reduce Social Security benefits for individuals who receive other benefits, such as a pension from a state or local government.</p><p>The act eliminates the government pension offset, which in various instances reduces Social Security benefits for spouses, widows, and widowers who also receive government pensions of their own.</p><p>The act also eliminates the windfall elimination provision, which in some instances reduces Social Security benefits for individuals who also receive a pension or disability benefit from an employer that did not withhold Social Security taxes.</p><p>These changes are effective for benefits payable after December 2023.&nbsp;</p>","['Ways and Means Committee', 'Social Security Subcommittee']","['Government employee pay, benefits, personnel management', 'Social security and elderly assistance']","https://api.congress.gov/v3/bill/118/hr/4583?format=xml, https://api.congress.gov/v3/bill/118/s/2280?format=xml, https://api.congress.gov/v3/bill/118/hres/1410?format=xml","Rep. Graves, Garret [R-LA-6]",Social Welfare,https://www.congress.gov/118/bills/hr82/BILLS-118hr82enr.xml
5863,HR,118,Federal Disaster Tax Relief Act of 2023,https://api.congress.gov/v3/bill/118/hr/5863?format=xml,No summary available,"['Finance Committee', 'Ways and Means Committee']","['Accidents', 'Disaster relief and insurance', 'Fires', 'Forests, forestry, trees', 'Income tax exclusion', 'Railroads']","https://api.congress.gov/v3/bill/118/hr/7024?format=xml, https://api.congress.gov/v3/bill/118/s/3711?format=xml, https://api.congress.gov/v3/bill/118/s/3678?format=xml, https://api.congress.gov/v3/bill/118/hres/961?format=xml","Rep. Steube, W. Gregory [R-FL-17]",Taxation,https://www.congress.gov/118/bills/hr5863/BILLS-118hr5863enr.xml
9076,HR,118,Supporting America’s Children and Families Act,https://api.congress.gov/v3/bill/118/hr/9076?format=xml,"<p><strong>Supporting America’s Children and Families Act</strong></p><p>TITLE I--CHILD WELFARE REAUTHORIZATION AND MODERNIZATION</p><p><em>Protecting America's Children by Strengthening Families Act</em></p><p>This title reauthorizes through FY2029 certain child and family services and modifies programs related to prevention services, youth in foster care, parental substance use disorder, and kinship caregiving, which are generally administered by the Administration for Children and Families (ACF).<br/><br/>First, the title reauthorizes funding through FY2029 for the&nbsp;Stephanie Tubbs Jones Child Welfare Services and the MaryLee Allen Promoting Safe and Stable Families programs. It also requires 3% of allocated funding to be paid directly to Indian tribes.&nbsp; <br/><br/>The title also reauthorizes through FY2029 the Court Improvement Program and requires the ACF to issue guidance for technological changes necessary to conduct proceedings remotely.</p><p>The title reauthorizes through FY2029 and revises regional partnership grants for services to families affected by substance use disorders.<br/><br/>The ACF also must review administrative requirements for state child welfare agencies and explore&nbsp;ways to reduce the compliance&nbsp;time.<br/><br/>The title also authorizes grants to states and other specified organizations to&nbsp;evaluate&nbsp;child and family services and kinship navigator programs.<br/><br/>Further, state plans for child welfare services must describe how states may offer virtual caseworker visits to youth in care who are over 18 and have consented to such visits.</p><p>The title also authorizes family preservation and family support services for youth under the age of 26. It also includes within the definition of <em>family preservation services</em> nonrecurring, short-term benefits that address immediate needs related to a specific crisis, such as supports for housing or food assistance.<br/><br/>The title also&nbsp;reauthorizes grants to states for caseworker support and&nbsp;authorizes demonstration grants to support relationships between foster children and their&nbsp;incarcerated parents.<br/><br/>Finally, the title modifies certain requirements regarding data collection and technical assistance for programs relating to behavioral health services, and it requires the ACF to report on post-adoption and guardianship services.</p><p>The title takes effect on October 1, 2025.</p><p>TITLE II--STRENGTHENING STATE AND TRIBAL CHILD SUPPORT</p><p><em>Strengthening State and Tribal Child Support Enforcement Act</em></p><p>This title permits tribal child support enforcement agencies to access the Federal Tax Refund Offset Program to collect past-due child support payments from the federal tax refunds of noncustodial parents.</p><p>Additionally,&nbsp;the title authorizes the Internal Revenue Service and the Social Security Administration to disclose certain tax return information to tribal child support enforcement agencies. Such information may be disclosed to establish and collect child support obligations from, and to locate, those individuals owing such obligations. The title also explicitly authorizes state and tribal child support enforcement agencies to disclose necessary information to contractors for these purposes.</p><p>The title also permits the ACF to reimburse tribal agencies for certain reporting costs related to the Federal Parent Locator Service.</p>","['Finance Committee', 'Ways and Means Committee']","['Adoption and foster care', 'Child care and development', 'Child health', 'Child safety and welfare', 'Community life and organization', 'Computers and information technology', 'Congressional oversight', 'Correctional facilities and imprisonment', 'Detention of persons', 'Drug, alcohol, tobacco use', 'Family relationships', 'Family services', 'Government information and archives', 'Indian social and development programs', 'Intergovernmental relations', 'Judicial procedure and administration', 'Lawyers and legal services', 'Mental health', 'Performance measurement']","https://api.congress.gov/v3/bill/118/hr/8621?format=xml, https://api.congress.gov/v3/bill/118/hr/8799?format=xml","Rep. LaHood, Darin [R-IL-16]",Families,https://www.congress.gov/118/bills/hr9076/BILLS-118hr9076enr.xml
4367,S,118,Thomas R. Carper Water Resources Development Act of 2024,https://api.congress.gov/v3/bill/118/s/4367?format=xml,No summary available,['Environment and Public Works Committee'],"['Advisory bodies', 'Alabama', 'Alaska', 'Aquatic ecology', 'Arizona', 'Arkansas', 'California', 'Civil actions and liability', 'Climate change and greenhouse gases', 'Colorado', 'Congressional oversight', 'Connecticut', 'Dams and canals', 'Delaware', 'District of Columbia', 'Ecology', 'Emergency planning and evacuation', 'Environmental assessment, monitoring, research', 'Environmental health']",https://api.congress.gov/v3/bill/118/sconres/46?format=xml,"Sen. Carper, Thomas R. [D-DE]",Water Resources Development,https://www.congress.gov/118/bills/s4367/BILLS-118s4367enr.xml
9322,HR,118,"To designate the facility of the United States Postal Service located at 675 Wolf Ledges Parkway in Akron, Ohio, as the ""Judge James R. Williams Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9322?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 675 Wolf Ledges Parkway in Akron, Ohio, as the Judge James R. Williams Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Ohio', 'Postal service']",,"Rep. Sykes, Emilia Strong [D-OH-13]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9322/BILLS-118hr9322enr.xml
4984,HR,118,D.C. Robert F. Kennedy Memorial Stadium Campus Revitalization Act,https://api.congress.gov/v3/bill/118/hr/4984?format=xml,"<p><strong>D.C. Robert F. Kennedy Memorial Stadium Campus Revitalization Act</strong></p><p>This act transfers the administration of the Robert F. Kennedy Memorial Stadium Campus from the National Park Service to the District of Columbia.</p><p>The District, after the transfer, may develop and use, and permit the development and use of, the campus for the following purposes:</p><ul><li>stadium purposes;</li><li>commercial and residential development;</li><li>facilities, open space, and public outdoor opportunities;</li><li>other public purposes for which the campus was used or approved for use prior to June 1, 1985; and</li><li>certain related demolition purposes.</li></ul><p>The Declaration of Covenants must include specified requirements for the District, including that the District must (1) ensure that development does not adversely impact National Park Service lands, and (2) designate at least 30% of the campus as parks and open space.</p><p>The District must conduct a survey of the campus and submit it to Congress.</p><p>The Department of the Interior and the District must enter into a memorandum of understanding to determine an allocation of certain environmental and cleanup costs.</p><p>The act (1) prohibits the use of federal funds for stadium purposes; and (2) sets the term of the transfer, subject to reversion under specified circumstances.<br/><br/></p>","['Energy and Natural Resources Committee', 'National Parks Subcommittee', 'Transportation and Infrastructure Committee', 'Economic Development, Public Buildings, and Emergency Management Subcommittee', 'Oversight and Government Reform Committee', 'Natural Resources Committee', 'Federal Lands Subcommittee']","['Building construction', 'Congressional oversight', 'District of Columbia', 'Economic development', 'Government buildings, facilities, and property', 'Government ethics and transparency, public corruption', 'Government information and archives', 'Lease and rental services', 'Residential rehabilitation and home repair', 'Sports and recreation facilities']",,"Rep. Comer, James [R-KY-1]",Government Operations and Politics,https://www.congress.gov/118/bills/hr4984/BILLS-118hr4984enr.xml
2181,S,118,Keeping Military Families Together Act of 2024,https://api.congress.gov/v3/bill/118/s/2181?format=xml,No summary available,"[""Veterans' Affairs Committee""]","['Cemeteries and funerals', 'Military personnel and dependents', ""Veterans' organizations and recognition""]",https://api.congress.gov/v3/bill/118/hr/9055?format=xml,"Sen. Peters, Gary C. [D-MI]",Armed Forces and National Security,https://www.congress.gov/118/bills/s2181/BILLS-118s2181enr.xml
10065,HR,118,"To designate the facility of the United States Postal Service located at 802 North Tancahua Street in Corpus Christi, Texas, as the ""Captain Robert E. 'Bob' Batterson Post Office"".",https://api.congress.gov/v3/bill/118/hr/10065?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 802 North Tancahua Street in Corpus Christi, Texas, as the Captain Robert E. 'Bob' Batterson Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Postal service', 'Texas']",,"Rep. Cloud, Michael [R-TX-27]",Government Operations and Politics,https://www.congress.gov/118/bills/hr10065/BILLS-118hr10065enr.xml
9775,HR,118,"To designate the facility of the United States Postal Service located at 119 North Anderson Street in Elwood, Indiana, as the ""Officer Noah Jacob Shahnavaz Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9775?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 119 North Anderson Street in Elwood, Indiana, as the Officer Noah Jacob Shahnavaz&nbsp;Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Indiana', 'Postal service']",,"Rep. Spartz, Victoria [R-IN-5]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9775/BILLS-118hr9775enr.xml
9600,HR,118,"To designate the facility of the United States Postal Service located at 119 Main Street in Plains, Georgia, as the ""Jimmy and Rosalynn Carter Post Office"".",https://api.congress.gov/v3/bill/118/hr/9600?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 119 Main Street in Plains, Georgia, as the Jimmy and Rosalynn Carter Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Georgia', 'Government buildings, facilities, and property', 'Postal service', 'Presidents and presidential powers, Vice Presidents']",https://api.congress.gov/v3/bill/118/s/5345?format=xml,"Rep. Bishop, Sanford D. [D-GA-2]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9600/BILLS-118hr9600enr.xml
9592,HR,118,Federal Register Modernization Act of 2024,https://api.congress.gov/v3/bill/118/hr/9592?format=xml,No summary available,"['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Administrative law and regulatory procedures', 'Government information and archives', 'Internet and video services', 'Internet, web applications, social media', 'Telephone and wireless communication']",,"Rep. Higgins, Clay [R-LA-3]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9592/BILLS-118hr9592enr.xml
9580,HR,118,"To designate the facility of the United States Postal Service located at 2777 Brentwood Road in Raleigh, North Carolina, as the ""Millie Dunn Veasey Post Office"".",https://api.congress.gov/v3/bill/118/hr/9580?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 2777 Brentwood Road in Raleigh, North Carolina, as the Millie Dunn Veasey Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'North Carolina', 'Postal service']",,"Rep. Ross, Deborah K. [D-NC-2]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9580/BILLS-118hr9580enr.xml
9549,HR,118,"To designate the facility of the United States Postal Service located at 125 South 1st Avenue in Hillsboro, Oregon, as the ""Elizabeth Furse Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9549?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 125 South 1st Avenue in Hillsboro, Oregon, as the Elizabeth Furse Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Oregon', 'Postal service']",https://api.congress.gov/v3/bill/118/s/5393?format=xml,"Rep. Bonamici, Suzanne [D-OR-1]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9549/BILLS-118hr9549enr.xml
9544,HR,118,"To designate the facility of the United States Postal Service located at 340 South Loudon Avenue in Baltimore, Maryland, as the ""United States Representative Elijah E. Cummings Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/9544?format=xml,"<p>This act designates the facility of the U. S. Postal Service located at 340 South Loudon Avenue in Baltimore, Maryland, as the United States Representative Elijah E. Cummings Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Maryland', 'Postal service']",https://api.congress.gov/v3/bill/118/s/5019?format=xml,"Rep. Mfume, Kweisi [D-MD-7]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9544/BILLS-118hr9544enr.xml
9487,HR,118,House Office of Legislative Counsel Modernization Act,https://api.congress.gov/v3/bill/118/hr/9487?format=xml,No summary available,['Committee on House Administration'],"['Congressional officers and employees', 'House of Representatives', 'Lawyers and legal services']",,"Rep. Steil, Bryan [R-WI-1]",Congress,https://www.congress.gov/118/bills/hr9487/BILLS-118hr9487enr.xml
9421,HR,118,"To designate the facility of the United States Postal Service located at 108 North Main Street in Bucoda, Washington, as the ""Mayor Rob Gordon Post Office"".",https://api.congress.gov/v3/bill/118/hr/9421?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 108 North Main Street in Bucoda, Washington, as the Mayor Rob Gordon Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Postal service', 'Washington State']",,"Rep. Perez, Marie Gluesenkamp [D-WA-3]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9421/BILLS-118hr9421enr.xml
9285,HR,118,"To designate the facility of the United States Postal Service located at 3913 Leland Avenue Northwest in Comstock Park, Michigan, as the ""Captain Miguel Justin Nava Post Office"".",https://api.congress.gov/v3/bill/118/hr/9285?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 3913 Leland Avenue Northwest in Comstock Park, Michigan, as the Captain Miguel Justin Nava Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Michigan', 'Postal service']",,"Rep. Scholten, Hillary J. [D-MI-3]",Government Operations and Politics,https://www.congress.gov/118/bills/hr9285/BILLS-118hr9285enr.xml
9124,HR,118,"To name the Department of Veterans Affairs community-based outpatient clinic in Auburn, California, as the ""Louis A. Conter VA Clinic"".",https://api.congress.gov/v3/bill/118/hr/9124?format=xml,"<p>This act designates the community-based outpatient clinic of the Department of Veterans Affairs in Auburn, California, as the Louis A. Conter VA Clinic.</p>","[""Veterans' Affairs Committee"", ""Veterans' Affairs Committee"", 'Health Subcommittee']","['California', 'Congressional tributes', 'Government buildings, facilities, and property', ""Veterans' medical care""]",,"Rep. Kiley, Kevin [R-CA-3]",Armed Forces and National Security,https://www.congress.gov/118/bills/hr9124/BILLS-118hr9124enr.xml
8976,HR,118,"To designate the facility of the United States Postal Service located at 20 West White Street in Millstadt, Illinois, as the ""Corporal Matthew A. Wyatt Post Office"".",https://api.congress.gov/v3/bill/118/hr/8976?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 20 West White Street in Millstadt, Illinois, as the Corporal Matthew A. Wyatt Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Illinois', 'Postal service']",,"Rep. Bost, Mike [R-IL-12]",Government Operations and Politics,https://www.congress.gov/118/bills/hr8976/BILLS-118hr8976enr.xml
8919,HR,118,"To designate the facility of the United States Postal Service located at 151 Highway 74 South in Peachtree City, Georgia, as the ""SFC Shawn McCloskey Post Office"".",https://api.congress.gov/v3/bill/118/hr/8919?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 151 Highway 74 South in Peachtree City, Georgia, as the SFC Shawn McCloskey Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Georgia', 'Government buildings, facilities, and property', 'Postal service']",,"Rep. Ferguson, A. Drew [R-GA-3]",Government Operations and Politics,https://www.congress.gov/118/bills/hr8919/BILLS-118hr8919enr.xml
8909,HR,118,"To designate the facility of the United States Postal Service located at 82-6110 Mamalahoa Highway in Captain Cook, Hawaii, as the ""Army 1st Lt. John Kuulei Kauhaihao Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/8909?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 82-6110 Mamalahoa Highway in Captain Cook, Hawaii, as the Army 1st Lt. John Kuulei Kauhaihao&nbsp;Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Hawaii', 'Postal service']",,"Rep. Tokuda, Jill N. [D-HI-2]",Government Operations and Politics,https://www.congress.gov/118/bills/hr8909/BILLS-118hr8909enr.xml
8868,HR,118,"To designate the facility of the United States Postal Service located at 609 Portsmouth Avenue in Greenland, New Hampshire, as the ""Chief Michael Maloney Post Office Building"".",https://api.congress.gov/v3/bill/118/hr/8868?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 609 Portsmouth Avenue in Greenland, New Hampshire, as the Chief Michael Maloney Post Office Building.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'New Hampshire', 'Postal service']",,"Rep. Pappas, Chris [D-NH-1]",Government Operations and Politics,https://www.congress.gov/118/bills/hr8868/BILLS-118hr8868enr.xml
8841,HR,118,"To designate the facility of the United States Postal Service located at 114 Center Street East in Roseau, Minnesota, as the ""Floyd B. Olson Post Office"".",https://api.congress.gov/v3/bill/118/hr/8841?format=xml,"<p>This act designates the facility of the U.S. Postal Service located at 114 Center Street East in Roseau, Minnesota, as the Floyd B. Olson Post Office.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Minnesota', 'Postal service']",https://api.congress.gov/v3/bill/118/s/4938?format=xml,"Rep. Fischbach, Michelle [R-MN-7]",Government Operations and Politics,https://www.congress.gov/118/bills/hr8841/BILLS-118hr8841enr.xml
