Number,Type,Congress,Title,Url,Summary,Committees,Topics,Related Bills,Sponsor,Subject,Text Access
3680,HR,116,"To designate the facility of the United States Postal Service located at 415 North Main Street in Henning, Tennessee, as the ""Paula Croom Robinson and Judy Spray Memorial Post Office Building"".",https://api.congress.gov/v3/bill/116/hr/3680?format=xml,"<p>Designates the facility of the United States Postal Service located at 415 North Main Street in Henning, Tennessee, as the ""Paula Croom Robinson and Judy Spray Memorial Post Office Building.""</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Congressional tributes', 'Government buildings, facilities, and property', 'Postal service', 'Tennessee']",,"Rep. Kustoff, David [R-TN-8]",Government Operations and Politics,https://www.congress.gov/116/bills/hr3680/BILLS-116hr3680enr.xml
3317,HR,116,"To permit the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display a portrait of Scipio A. Jones, and for other purposes.",https://api.congress.gov/v3/bill/116/hr/3317?format=xml,"<p>This bill permits the postmaster of the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display in the lobby of such post office a portrait, painted by artist Wade Hampton, of Scipio A. Jones.</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['Arkansas', 'Art, artists, authorship', 'Government buildings, facilities, and property', 'Postal service', 'State and local government operations', 'U.S. history']",https://api.congress.gov/v3/bill/116/s/3187?format=xml,"Rep. Hill, J. French [R-AR-2]",Government Operations and Politics,https://www.congress.gov/116/bills/hr3317/BILLS-116hr3317enr.xml
1503,HR,116,Orange Book Transparency Act of 2020,https://api.congress.gov/v3/bill/116/hr/1503?format=xml,"<p><strong>Orange Book Transparency Act of 2020</strong></p>This bill modifies requirements for the Food and Drug Administration (FDA)to list and publish drug patent and exclusivity information. Specifically, the FDA must include on its list certain patent information and must specify each drug exclusivity period that has not concluded. <p>The holder of an approved drug application must notify the FDA when a listed patent is invalidated by a court or by the Patent Trial and Appeal Board. The FDA must remove invalidated patents from its list, subject to the 180-day drug exclusivity period.</p>","['Health, Education, Labor, and Pensions Committee', 'Energy and Commerce Committee', 'Health Subcommittee']","['Administrative law and regulatory procedures', 'Congressional oversight', 'Drug safety, medical device, and laboratory regulation', 'Food and Drug Administration (FDA)', 'Government information and archives', 'Intellectual property', 'Prescription drugs']",https://api.congress.gov/v3/bill/116/hr/19?format=xml,"Rep. Kelly, Robin L. [D-IL-2]",Health,https://www.congress.gov/116/bills/hr1503/BILLS-116hr1503enr.xml
2030,HR,116,Colorado River Drought Contingency Plan Authorization Act,https://api.congress.gov/v3/bill/116/hr/2030?format=xml,"<p><b>Colorado River Drought Contingency Plan Authorization Act</b></p> <p>This bill requires the Department of the Interior to carry out the Colorado River Drought Contingency Plan which was submitted to Congress on March 19, 2019, by Arizona, California, Colorado, Nevada, New Mexico, Utah, and Wyoming. Interior must execute the plan without delay and operate applicable Colorado River System reservoirs accordingly.</p>",['Natural Resources Committee'],"['Arizona', 'California', 'Colorado', 'Intergovernmental relations', 'Lakes and rivers', 'Nevada', 'New Mexico', 'Utah', 'Water storage', 'Water use and supply', 'Wyoming']",https://api.congress.gov/v3/bill/116/s/1057?format=xml,"Rep. Grijalva, Raúl M. [D-AZ-3]",Water Resources Development,https://www.congress.gov/116/bills/hr2030/BILLS-116hr2030enr.xml
3637,S,116,"A bill to amend the Servicemembers Civil Relief Act to extend lease protections for servicemembers under stop movement orders in response to a local, national, or global emergency, and for other purposes.",https://api.congress.gov/v3/bill/116/s/3637?format=xml,"<p>This bill provides certain lease protections for service members under stop movement orders in response to a local, national, or global emergency.</p> <p>A service member may terminate a lease for premises or for a motor vehicle, and may not be charged an early termination fee for doing so, if the service member (1) enters into the lease upon receipt of certain military orders for permanent change of station, deployment with a military unit, or individual support of military operations; and (2) subsequently receives, in response to a local, national, or global emergency, a stop movement order for an indefinite period or at least 30 days. </p> <p>For the bill to apply in the case of a lease for premises, the stop movement order must prevent the service member or the service member's dependents from occupying the premises.</p>","[""Veterans' Affairs Committee""]","['Emergency planning and evacuation', 'Landlord and tenant', 'Lease and rental services', 'Military operations and strategy', 'Military personnel and dependents', 'Motor vehicles']","https://api.congress.gov/v3/bill/116/hr/6800?format=xml, https://api.congress.gov/v3/bill/116/hr/6767?format=xml","Sen. Tester, Jon [D-MT]",Armed Forces and National Security,https://www.congress.gov/116/bills/s3637/BILLS-116s3637enr.xml
375,S,116,Payment Integrity Information Act of 2019,https://api.congress.gov/v3/bill/116/s/375?format=xml,"<p><b>Payment Integrity Information Act of 201</b><b>9</b></p> <p>This bill reorganizes and revises several existing improper payments statutes, which establish requirements for federal agencies to cut down on improper payments made by the federal government.</p> <p>The Office of Management and Budget (OMB) may establish one or more pilot programs to test potential accountability mechanisms for compliance with requirements regarding improper payments and the elimination of improper payments.</p> <p>The bill requires the OMB to update its plan for improving the death data maintained by the Social Security Administration and improving federal agency use of death data.</p> <p>The bill establishes an interagency working group on payment integrity.</p>","['Oversight and Government Reform Committee', 'Homeland Security and Governmental Affairs Committee']","['Accounting and auditing', 'Appropriations', 'Congressional oversight', 'Executive agency funding and structure', 'Fraud offenses and financial crimes', 'Government employee pay, benefits, personnel management', 'Government information and archives', 'Government studies and investigations', 'Health information and medical records', 'Public contracts and procurement', 'Transportation costs']",https://api.congress.gov/v3/bill/116/hr/5389?format=xml,"Sen. Carper, Thomas R. [D-DE]",Government Operations and Politics,https://www.congress.gov/116/bills/s375/BILLS-116s375enr.xml
5472,HR,116,Jimmy Carter National Historical Park Redesignation Act,https://api.congress.gov/v3/bill/116/hr/5472?format=xml,<p><b>Jimmy Carter National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Jimmy Carter National Historic Site in Georgia as the Jimmy Carter National Historical Park.</p>,"['Natural Resources Committee', 'Federal Lands Subcommittee']","['Georgia', 'Historic sites and heritage areas', 'Parks, recreation areas, trails', 'Presidents and presidential powers, Vice Presidents']","https://api.congress.gov/v3/bill/116/hr/3098?format=xml, https://api.congress.gov/v3/bill/116/s/3098?format=xml","Rep. Bishop, Sanford D., Jr. [D-GA-2]",Public Lands and Natural Resources,https://www.congress.gov/116/bills/hr5472/BILLS-116hr5472enr.xml
1472,HR,116,"To rename the Homestead National Monument of America near Beatrice, Nebraska, as the Homestead National Historical Park.",https://api.congress.gov/v3/bill/116/hr/1472?format=xml,<p>This bill redesignates the Homestead National Monument of America in Nebraska as the Homestead National Historical Park.</p>,"['Energy and Natural Resources Committee', 'National Parks Subcommittee', 'Natural Resources Committee', 'Federal Lands Subcommittee']","['Historic sites and heritage areas', 'Land transfers', 'Monuments and memorials', 'Nebraska', 'U.S. history']",https://api.congress.gov/v3/bill/116/s/1910?format=xml,"Rep. Smith, Adrian [R-NE-3]",Public Lands and Natural Resources,https://www.congress.gov/116/bills/hr1472/BILLS-116hr1472enr.xml
1590,HR,116,Terrorist and Foreign Fighter Travel Exercise Act of 2019,https://api.congress.gov/v3/bill/116/hr/1590?format=xml,"<p><strong>Terrorist and Foreign Fighter Travel Exercise Act of 2019</strong></p> <p>This bill requires the Department of Homeland Security to develop and conduct an exercise related to the detection and prevention of terrorist and foreign fighter travel. </p> <p>The bill requires the national exercise program (a program to test and evaluate the national preparedness goal, National Incident Management System, National Response Plan, and other related plans and strategies) to include emerging threats.</p>","['Homeland Security and Governmental Affairs Committee', 'Homeland Security Committee']","['Congressional oversight', 'Emergency planning and evacuation', 'Homeland security', 'Terrorism', 'Travel and tourism']",,"Rep. Guest, Michael [R-MS-3]",Emergency Management,https://www.congress.gov/116/bills/hr1590/BILLS-116hr1590enr.xml
3005,HR,116,"To designate the facility of the United States Postal Service located at 13308 Midland Road in Poway, California, as the ""Ray Chavez Post Office Building"".",https://api.congress.gov/v3/bill/116/hr/3005?format=xml,"<p>Designates the facility of the United States Postal Service located at 13308 Midland Road in Poway, California, as the ""Ray Chavez Post Office Building.""</p>","['Homeland Security and Governmental Affairs Committee', 'Oversight and Government Reform Committee']","['California', 'Congressional tributes', 'Government buildings, facilities, and property', 'Postal service']",,"Rep. Peters, Scott H. [D-CA-52]",Government Operations and Politics,https://www.congress.gov/116/bills/hr3005/BILLS-116hr3005enr.xml
578,S,116,ALS Disability Insurance Access Act of 2019,https://api.congress.gov/v3/bill/116/s/578?format=xml,"<p><b>ALS Disability Insurance Access Act of 2019</b></p> <p>This bill eliminates the five-month waiting period for disability benefits under the Old Age, Survivors, and Disability Insurance program for individuals with amyotrophic lateral sclerosis (a progressive neurodegenerative disease, also known as Lou Gehrig's disease,&nbsp;that affects nerve cells in the brain and spinal cord). Under current law, individuals&nbsp;must wait five months after becoming disabled before their disability insurance benefit payments&nbsp;may begin.</p>",['Finance Committee'],"['Disability assistance', 'Neurological disorders']",https://api.congress.gov/v3/bill/116/hr/1407?format=xml,"Sen. Whitehouse, Sheldon [D-RI]",Social Welfare,https://www.congress.gov/116/bills/s578/BILLS-116s578enr.xml
4044,HR,116,Protect and Restore America's Estuaries Act,https://api.congress.gov/v3/bill/116/hr/4044?format=xml,"<p><b>Protect and Restore America's Estuaries Act</b></p> <p>This bill reauthorizes for FY2022-FY2026 and revises the National Estuary Program, which provides grants to protect or restore estuaries of national significance. Specifically, the bill expands the types of projects that qualify for grants under the program, such as projects that address issues related to coastal resiliency, stormwater runoff, or accelerated land loss. </p>","['Transportation and Infrastructure Committee', 'Water Resources and Environment Subcommittee']","['Air quality', 'Alabama', 'Aquatic ecology', 'Atmospheric science and weather', 'California', 'Caribbean area', 'Climate change and greenhouse gases', 'Environmental assessment, monitoring, research', 'Florida', 'Lakes and rivers', 'Land use and conservation', 'Maine', 'Marine and coastal resources, fisheries', 'Maryland', 'New Hampshire', 'New Jersey', 'Oregon', 'Puerto Rico', 'Social work, volunteer service, charitable organizations']",https://api.congress.gov/v3/bill/116/s/3171?format=xml,"Rep. Malinowski, Tom [D-NJ-7]",Environmental Protection,https://www.congress.gov/116/bills/hr4044/BILLS-116hr4044enr.xml
2330,S,116,"Empowering Olympic, Paralympic, and Amateur Athletes Act of 2020",https://api.congress.gov/v3/bill/116/s/2330?format=xml,"<p><b>Empowering Olympic, Paralympic, and Amateur Athletes Act of 2020</b></p> <p>This bill establishes safeguards to protect amateur athletes from abuse, including sexual abuse, by coaches and employees in U.S. Olympic and Paralympic sports.</p> <p>The bill establishes (1) legislative mechanisms by which Congress can dissolve the Board of Directors of the U.S. Olympic and Paralympic Committee (USOPC) and decertify national governing bodies; and (2) a duty of care that USOPC owes to amateur athletes, including protecting athletes by requiring it to ensure that any allegation of child abuse of an amateur athlete who is a minor is immediately reported to law enforcement.</p> <p>The bill provides for an annual amateur athlete survey conducted anonymously and an Athletes' Advisory Council.</p> <p>The bill revises duties of the Office of the Ombuds regarding the pursuit of abuse claims by the U.S. Center for SafeSport, confidentiality, and retaliation against an employee or member for disclosing information or seeking assistance in mediation. The USOPC and the national governing bodies shall not interfere in or attempt to influence the outcome of an investigation.</p><p>The center shall report to Congress within 72 hours of an attempt to interfere in, or influence the outcome of, an investigation.</p> <p>The bill establishes within the legislative branch the Commission on the State of U.S. Olympics and Paralympics to study matters relating to the state of U.S. participation in the Olympic and Paralympic Games. <p>The bill prohibits retaliation against protected individuals (including amateur athletes, coaches, and trainers) because of disclosures pertaining to sexual abuse or harassment.","['Commerce, Science, and Transportation Committee']","['Accounting and auditing', 'Advisory bodies', 'Alternative dispute resolution, mediation, arbitration', 'Assault and harassment offenses', 'Athletes', 'Bankruptcy', 'Congressional operations and organization', 'Congressional oversight', 'Corporate finance and management', 'Crime victims', 'Crimes against children', 'Disability and paralysis', 'Domestic violence and child abuse', 'Employment discrimination and employee rights', 'Government information and archives', 'Legislative rules and procedure', 'Olympic games', 'Sex offenses', 'Tax-exempt organizations']","https://api.congress.gov/v3/bill/116/hr/3303?format=xml, https://api.congress.gov/v3/bill/116/s/132?format=xml, https://api.congress.gov/v3/bill/116/hconres/118?format=xml, https://api.congress.gov/v3/bill/116/sconres/46?format=xml, https://api.congress.gov/v3/bill/116/hr/7881?format=xml","Sen. Moran, Jerry [R-KS]",Sports and Recreation,https://www.congress.gov/116/bills/s2330/BILLS-116s2330enr.xml
5671,HR,116,Merchant Mariners of World War II Congressional Gold Medal Act of 2020,https://api.congress.gov/v3/bill/116/hr/5671?format=xml,"<p><b>Merchant Mariners of World War II Congressional Gold Medal Act of </b><b>2020</b></p> <p>This bill provides for a Congressional Gold Medal to be awarded to the U.S. Merchant Mariners of World War II, in recognition of their service during World War II.</p> <p>Following the award of the medal, it shall be given to the American Merchant Marine Museum, where it shall be available for display and research. </p>","['Banking, Housing, and Urban Affairs Committee', 'Financial Services Committee']","['Conflicts and wars', 'Congressional tributes', 'Marine and inland water transportation', 'Military history', 'Transportation employees']","https://api.congress.gov/v3/bill/116/hr/550?format=xml, https://api.congress.gov/v3/bill/116/s/133?format=xml","Rep. Garamendi, John [D-CA-3]",Armed Forces and National Security,https://www.congress.gov/116/bills/hr5671/BILLS-116hr5671enr.xml
